Dutch	3	4917128	1837
			6)	_ke	755	1262	1.8132375E-4
			7)	_kl	923	927	1.3319105E-4
			8)	_ki	930	914	1.3132322E-4
		22)	_j	0	0	0.0
			1)	_ja	529	1972	2.833363E-4
			2)	_ju	822	1114	1.6005915E-4
			3)	_jo	1603	284	4.0805025E-5
			4)	_je	1653	266	3.821879E-5
		23)	_f	0	0	0.0
			1)	_fi	807	1142	1.6408219E-4
			2)	_fe	893	984	1.4138079E-4
			3)	_fr	1005	769	1.10489666E-4
			4)	_fu	1061	692	9.942633E-5
			5)	_fo	1200	548	7.8736455E-5
			6)	_fa	1280	474	6.8104164E-5
		24)	_é	0	0	0.0
			1)	_éé	1419	378	5.4310913E-5
	4)	a	0	0	0.0
		1)	an	0	0	0.0
			1)	an_	4	58148	0.008354685
			2)	and	54	15266	0.002193414
			3)	ang	139	7588	0.0010902414
			4)	ant	210	5001	7.18542E-4
			5)	ank	534	1955	2.8089376E-4
			6)	ani	618	1641	2.3577834E-4
			7)	ans	728	1327	1.9066292E-4
			8)	anc	736	1309	1.8807668E-4
			9)	ann	738	1308	1.8793301E-4
			10)	anv	995	783	1.1250118E-4
			11)	ane	1101	651	9.353546E-5
			12)	anz	1250	494	7.097775E-5
			13)	ana	1277	475	6.824784E-5
			14)	anw	1380	399	5.7328187E-5
			15)	anp	1397	389	5.5891393E-5
			16)	anb	1463	356	5.114996E-5
			17)	anu	1479	347	4.9856844E-5
			18)	anm	1716	240	3.448312E-5
		2)	at	0	0	0.0
			1)	at_	17	29049	0.0041737505
			2)	ati	121	8533	0.0012260186
			3)	ate	201	5312	7.632264E-4
			4)	ats	370	2736	3.9310756E-4
			5)	atr	806	1143	1.6422586E-4
			6)	atu	916	943	1.3548993E-4
			7)	att	1057	698	1.0028841E-4
			8)	atl	1836	201	2.8879613E-5
		3)	aa	0	0	0.0
			1)	aar	27	24368	0.0035011861
			2)	aan	40	18319	0.0026320678
			3)	aat	132	8036	0.0011546098
			4)	aal	260	3968	5.7012093E-4
			5)	aag	316	3213	4.6164278E-4
			6)	aak	378	2704	3.8850983E-4
			7)	aam	970	834	1.19828845E-4
			8)	aad	977	816	1.17242605E-4
			9)	aas	1233	513	7.370767E-5
		4)	ar	0	0	0.0
			1)	ar_	69	12915	0.0018556229
			2)	ard	247	4205	6.04173E-4
			3)	ari	291	3431	4.9296493E-4
			4)	art	373	2722	3.9109605E-4
			5)	aro	447	2344	3.3678513E-4
			6)	are	488	2185	3.1394008E-4
			7)	arm	778	1187	1.7054776E-4
			8)	ara	794	1168	1.6781785E-4
			9)	arb	814	1128	1.6207066E-4
			10)	ark	833	1088	1.5632348E-4
			11)	arv	914	948	1.3620833E-4
			12)	arl	1016	758	1.0890919E-4
			13)	ars	1336	423	6.07765E-5
			14)	arn	1685	251	3.6063597E-5
			15)	arg	1704	245	3.520152E-5
			16)	arh	1715	240	3.448312E-5
		5)	al	0	0	0.0
			1)	al_	106	9624	0.0013827732
			2)	als	146	7220	0.0010373672
			3)	all	213	4953	7.116454E-4
			4)	ale	230	4553	6.5417355E-4
			5)	ali	414	2540	3.6494635E-4
			6)	ald	851	1058	1.5201309E-4
			7)	alt	917	943	1.3548993E-4
			8)	alg	1172	576	8.275949E-5
			9)	alv	1557	309	4.4397017E-5
			10)	alo	1692	248	3.5632558E-5
		6)	am	0	0	0.0
			1)	ame	176	6140	8.8219316E-4
			2)	amm	795	1165	1.6738681E-4
			3)	am_	1286	469	6.7385765E-5
			4)	amp	1296	454	6.523057E-5
			5)	amb	1386	397	5.7040827E-5
			6)	amh	1657	264	3.7931433E-5
		7)	ag	0	0	0.0
			1)	ag_	194	5554	7.979969E-4
			2)	age	286	3479	4.9986155E-4
			3)	ags	1227	519	7.456975E-5
			4)	agd	1468	353	5.071892E-5
			5)	agi	1520	327	4.6983252E-5
			6)	agt	1693	248	3.5632558E-5
			7)	agr	1772	222	3.1896885E-5
		8)	ac	0	0	0.0
			1)	ach	232	4533	6.5129995E-4
			2)	act	479	2209	3.173884E-4
			3)	aci	1432	371	5.3305157E-5
			4)	acc	1820	206	2.9598012E-5
		9)	ak	0	0	0.0
			1)	ake	253	4085	5.869314E-4
			2)	ak_	508	2090	3.002905E-4
			3)	akt	605	1703	2.4468647E-4
			4)	akk	939	894	1.2844962E-4
		10)	ad	0	0	0.0
			1)	ade	407	2576	3.7011883E-4
			2)	ad_	819	1120	1.6092123E-4
			3)	add	1358	411	5.9052345E-5
			4)	adr	1381	399	5.7328187E-5
			5)	adi	1392	395	5.675347E-5
			6)	adv	1696	247	3.5488876E-5
		11)	ap	0	0	0.0
			1)	app	422	2488	3.5747502E-4
			2)	ap_	779	1187	1.7054776E-4
			3)	ape	1627	273	3.922455E-5
			4)	api	1644	270	3.879351E-5
		12)	as	0	0	0.0
			1)	ast	425	2477	3.5589453E-4
			2)	as_	428	2467	3.5445773E-4
			3)	ass	818	1122	1.6120859E-4
			4)	asi	1098	652	9.367914E-5
			5)	ase	1485	346	4.9713166E-5
			6)	asp	1550	312	4.4828055E-5
		13)	ai	0	0	0.0
			1)	air	697	1420	2.0402513E-4
		14)	af	0	0	0.0
			1)	afg	734	1310	1.8822037E-4
			2)	af_	975	824	1.1839205E-4
			3)	afv	1373	405	5.8190264E-5
			4)	afs	1453	360	5.172468E-5
			5)	afh	1527	324	4.6552213E-5
		15)	au	0	0	0.0
			1)	aut	799	1161	1.668121E-4
			2)	au_	1217	533	7.6581266E-5
			3)	auw	1522	326	4.683957E-5
		16)	av	0	0	0.0
			1)	ave	1262	483	6.9397276E-5
			2)	avi	1807	210	3.017273E-5
		17)	ab	0	0	0.0
			1)	abi	1370	406	5.8333946E-5
			2)	abs	1720	238	3.419576E-5
	5)	v	0	0	0.0
		1)	va	0	0	0.0
			1)	van	8	43659	0.0062729106
			2)	vaa	474	2220	3.1896887E-4
			3)	val	505	2093	3.0072156E-4
			4)	vas	894	983	1.4123712E-4
			5)	vat	1019	756	1.08621825E-4
			6)	var	1505	334	4.7989008E-5
		2)	ve	0	0	0.0
			1)	ver	12	32115	0.0046142726
			2)	ven	140	7515	0.0010797527
			3)	vee	527	1981	2.846294E-4
			4)	ve_	783	1183	1.6997305E-4
			5)	ves	935	908	1.3046114E-4
			6)	vei	1037	724	1.0402408E-4
			7)	vel	1041	713	1.02443606E-4
			8)	vea	1260	486	6.982832E-5
		3)	vo	0	0	0.0
