French	3	27606485
			3)	adh	0.0717445	5661
			4)	adé	0.09211077	7268
			5)	ada	0.06781573	5351
			6)	adr	0.07553387	5960
			7)	adu	0.013738039	1084
			8)	add	0.019010203	1500
			9)	adv	0.010911856	861
			10)	adj	0.0074013053	584
			11)	ade	0.0016095304	127
			12)	adi	0.0012293264	97
			13)	Esc	1.5208161E-4	12
		8)	ai	0.03582985	54944
			1)	ait	0.25156957	13824
			2)	aim	0.045058325	2476
			3)	aij	0.0043129334	237
			4)	aie	0.089843675	4937
			5)	aid	0.51820713	28476
			6)	aig	0.009790541	538
			7)	ail	0.027333442	1502
			8)	ain	0.014976979	823
			9)	ais	0.029589998	1626
			10)	air	0.009135411	502
			11)	Esc	1.8198031E-4	10
		9)	ac	0.14867784	227993
			1)	acc	0.5158624	117531
			2)	act	0.43905652	100032
			3)	acq	0.01945276	4432
			4)	ach	0.022459334	5117
			5)	aci	0.0011016793	251
			6)	aca	0.0015493736	353
			7)	aco	4.871968E-4	111
			8)	Esc	3.0724124E-5	7
		10)	ay	0.0066607106	10214
			1)	aya	0.6955414	7098
			2)	ayo	0.2508574	2560
			3)	aye	0.0533072	544
			4)	Esc	2.9397354E-4	3
		11)	af	0.02867288	43969
			1)	aff	0.91762006	40345
			2)	afr	0.06329747	2783
			3)	afg	0.01901426	836
			4)	Esc	6.823299E-5	3
		12)	am	0.054930322	84234
			1)	amé	0.3338916	28110
			2)	amp	0.02515768	2118
			3)	ame	0.43699294	36790
			4)	ama	0.0064854077	546
			5)	amo	0.012757011	1074
			6)	ami	0.048593048	4091
			7)	amb	0.12025324	10124
			8)	amè	0.012507572	1053
			9)	amu	0.0018767298	158
			10)	amn	0.0013659742	115
			11)	Esc	1.18780365E-4	10
		13)	al	0.038309194	58746
			1)	all	0.539637	31640
			2)	alt	0.07709101	4520
			3)	alo	0.0060888254	357
			4)	ali	0.30456066	17857
			5)	ale	0.009107655	534
			6)	ala	0.020415472	1197
			7)	alb	0.015281757	896
			8)	alp	0.005867103	344
			9)	alc	0.008834766	518
			10)	alé	0.004263883	250
			11)	alg	0.00866421	508
			12)	Esc	1.8761086E-4	11
		14)	ar	0.03340659	51228
			1)	arm	0.1778752	9088
			2)	art	0.19044077	9730
			3)	arr	0.38888672	19869
			4)	arg	0.119646914	6113
			5)	ard	0.015853753	810
			6)	arb	0.030631019	1565
			7)	arô	0.0018006733	92
			8)	arc	0.026892664	1374
			9)	ara	0.03720739	1901
			10)	ari	0.0033664762	172
			11)	ars	0.0044038207	225
			12)	aro	0.0027597276	141
			13)	Esc	2.3487043E-4	12
		15)	ag	0.03215518	49309
			1)	agi	0.25588575	12597
			2)	agr	0.5456337	26861
			3)	age	0.16155112	7953
			4)	agg	0.033821527	1665
			5)	agu	0.0013812997	68
			6)	aga	0.0016047452	79
			7)	Esc	1.2187938E-4	6
		16)	aj	0.006737008	10331
			1)	ajo	0.8971257	9270
			2)	aju	0.102680735	1061
			3)	Esc	1.9355463E-4	2
		17)	ab	0.03093246	47434
			1)	abo	0.4063973	19223
			2)	abs	0.39658782	18759
			3)	aba	0.08930044	4224
			4)	abu	0.069004886	3264
			5)	abr	0.02249424	1064
			6)	abe	0.01249445	591
			7)	abj	0.0023678145	112
			8)	abî	0.0011839073	56
			9)	Esc	1.6912962E-4	8
		18)	aé	0.007094368	10879
			1)	aér	0.9999081	10879
			2)	Esc	9.191177E-5	1
		19)	ax	0.0016713728	2563
			1)	axé	0.6340308	1606
			2)	axe	0.36517963	925
			3)	Esc	7.8957755E-4	2
		20)	aq	2.184588E-4	335
			1)	aqu	0.99701494	334
			2)	Esc	0.0029850747	1
		21)	ah	1.0173006E-4	156
			1)	ahu	0.9876543	80
			2)	Esc	0.012345679	1
		22)	ao	5.8755634E-4	901
			1)	aoû	0.9988839	895
			2)	Esc	0.0011160715	1
		23)	az	1.7867972E-4	274
			1)	azi	0.42971888	107
			2)	azo	0.3172691	79
			3)	aze	0.24096386	60
			4)	Esc	0.012048192	3
		24)	aî	4.2387528E-5	65
			1)	aîn	0.9848485	65
			2)	Esc	0.015151516	1
		25)	Esc	1.565078E-5	24
	6)	é	0.025707185	709685
		1)	ét	0.34050944	241633
			1)	été	0.5062616	122329
			2)	éta	0.30809247	74445
			3)	éti	0.014770394	3569
			4)	éte	0.018755794	4532
			5)	étu	0.044538803	10762
			6)	étr	0.09009982	21771
			7)	éth	0.007747318	1872
			8)	éto	0.009700702	2344
			9)	Esc	3.3108197E-5	8
		2)	él	0.10694708	75892
			1)	éle	0.45347703	34418
			2)	éla	0.18659253	14162
			3)	éli	0.05490263	4167
			4)	élu	0.058947533	4474
			5)	élo	0.029144378	2212
			6)	élé	0.20826636	15807
			7)	élè	0.008577301	651
			8)	Esc	9.222904E-5	7
		3)	ég	0.16774987	119039
			1)	éga	0.989864	117776
			2)	égo	0.0035299456	420
			3)	égl	0.0030592864	364
			4)	égy	0.0035131364	418
			5)	Esc	3.361853E-5	4
		4)	éc	0.17264543	122513
			1)	éco	0.66826135	81856
			2)	écr	0.15637884	19155
			3)	éch	0.13373227	16381
			4)	éca	0.01499702	1837
			5)	écl	0.022034273	2699
			6)	écu	0.004547273	557
			7)	Esc	4.898319E-5	6
		5)	év	0.09819876	69684
			1)	évé	0.102023244	7110
			2)	éve	0.091017365	6343
			3)	évo	0.22238484	15498
			4)	évi	0.4309944	30036
			5)	éva	0.14641985	10204
			6)	évè	0.0061271344	427
			7)	évê	9.32702E-4	65
			8)	Esc	1.0044483E-4	7
		6)	ém	0.023499835	16676
			1)	émo	0.051085263	852
			2)	éme	0.22214894	3705
			3)	éma	0.100851424	1682
			4)	émi	0.6157213	10269
			5)	ému	0.009893273	165
			6)	Esc	2.9979614E-4	5
		7)	én	0.036691364	26037
			1)	éno	0.26642603	6938
			2)	éne	0.69329137	18054
			3)	éni	0.0112130875	292
			4)	énu	0.02891594	753
			5)	Esc	1.5360393E-4	4
		8)	éd	0.0057298113	4066
			1)	édi	0.24117503	977
			2)	édu	0.7583313	3072
			3)	Esc	4.937053E-4	2
		9)	éq	0.031222256	22156
			1)	équ	0.9999549	22155
			2)	Esc	4.51345E-5	1
		10)	ép	0.013118251	9309
			1)	épo	0.31395727	2895
			2)	épi	0.21895672	2019
			3)	épa	0.15887648	1465
			4)	épr	0.20778657	1916
			5)	épu	0.093590714	863
			6)	éph	0.0061815423	57
			7)	Esc	6.5068866E-4	6
		11)	éb	9.145714E-4	649
			1)	ébr	0.6995074	426
			2)	éba	0.29720855	181
			3)	Esc	0.0032840723	2
		12)	ér	0.0021377578	1517
			1)	éri	0.25874588	392
			2)	éra	0.4871287	738
			3)	éro	0.13795379	209
			4)	éry	0.04620462	70
			5)	éru	0.06666667	101
			6)	Esc	0.0033003301	5
		13)	éo	4.593995E-4	326
			1)	éol	0.9969231	324
			2)	Esc	0.003076923	1
		14)	éh	1.564213E-4	111
			1)	ého	0.9910714	111
			2)	Esc	0.008928572	1
		15)	Esc	1.9728814E-5	14
	7)	i	0.026794648	739706
		1)	in	0.66171235	489421
