French	3	26599942	2848
			18)	_aj	1846	1150	3.0891755E-5
			19)	_ay	1889	1082	2.9065113E-5
			20)	_ax	2719	249	6.688737E-6
		10)	_u	0	0	0.0
			1)	_un	43	97708	0.002624671
			2)	_ut	1122	3735	1.0033105E-4
			3)	_uv	1248	2973	7.986191E-5
			4)	_ur	1844	1153	3.0972344E-5
			5)	_us	2238	603	1.6198026E-5
			6)	_ul	2389	447	1.2007491E-5
		11)	_s	0	0	0.0
			1)	_so	53	80276	0.0021564057
			2)	_su	69	66642	0.0017901638
			3)	_se	71	66141	0.0017767058
			4)	_sa	164	33868	9.0977567E-4
			5)	_si	184	29805	8.0063374E-4
			6)	_sé	543	10123	2.7192803E-4
			7)	_st	568	9489	2.5489728E-4
			8)	_sy	837	5891	1.5824637E-4
			9)	_s_	952	4968	1.3345238E-4
			10)	_sp	1056	4126	1.1083425E-4
			11)	_sc	1410	2254	6.054784E-5
			12)	_sû	1487	2039	5.4772427E-5
		12)	_r	0	0	0.0
			1)	_re	66	68136	0.0018302962
			2)	_ré	91	53015	0.0014241099
			3)	_ra	169	33260	8.934433E-4
			4)	_rè	833	5915	1.5889108E-4
			5)	_ri	860	5658	1.5198743E-4
			6)	_rô	1374	2432	6.532935E-5
			7)	_ro	1577	1797	4.8271726E-5
			8)	_ru	1727	1410	3.787598E-5
			9)	_ry	2789	223	5.9903145E-6
		13)	_m	0	0	0.0
			1)	_ma	76	62232	0.0016717006
			2)	_mo	102	49141	0.0013200451
			3)	_me	138	38682	0.0010390913
			4)	_mi	310	18157	4.8774053E-4
			5)	_mê	574	9336	2.5078733E-4
			6)	_mé	824	5968	1.6031478E-4
			7)	_mu	1465	2099	5.638417E-5
			8)	_m_	1742	1390	3.733873E-5
			9)	_mè	2325	506	1.3592373E-5
			10)	_mm	2602	302	8.1124435E-6
		14)	_i	0	0	0.0
			1)	_in	86	55110	0.0014803867
			2)	_il	122	41804	0.0011229556
			3)	_im	316	17755	4.7694184E-4
			4)	_ic	1255	2924	7.854565E-5
			5)	_id	1510	1986	5.3348722E-5
			6)	_ir	1696	1478	3.9702623E-5
			7)	_is	1961	988	2.6540049E-5
			8)	_it	2313	518	1.3914721E-5
			9)	_ig	2416	423	1.1362794E-5
		15)	_j	0	0	0.0
			1)	_je	104	48957	0.0013151023
			2)	_ju	436	12832	3.446983E-4
			3)	_ja	679	7736	2.078075E-4
			4)	_jo	764	6784	1.822345E-4
			5)	_j_	1274	2860	7.682646E-5
			6)	_ji	2348	487	1.3081987E-5
			7)	_jé	2584	314	8.434793E-6
		16)	_t	0	0	0.0
			1)	_tr	108	48345	0.0012986626
			2)	_to	134	39733	0.0010673236
			3)	_te	200	28156	7.5633766E-4
			4)	_ta	600	8893	2.388873E-4
			5)	_ti	834	5914	1.5886422E-4
			6)	_té	1649	1596	4.2872387E-5
			7)	_th	1663	1556	4.1797888E-5
			8)	_ty	1672	1532	4.115319E-5
			9)	_tu	1798	1269	3.408838E-5
			10)	_tâ	2043	862	2.3155386E-5
			11)	_tô	2504	359	9.643601E-6
			12)	_tê	2656	276	7.4140216E-6
		17)	_f	0	0	0.0
			1)	_fa	110	47536	0.0012769309
			2)	_fo	216	26565	7.1359955E-4
			3)	_fi	394	14345	3.853411E-4
			4)	_fe	792	6304	1.6934055E-4
			5)	_fr	821	6017	1.6163105E-4
			6)	_fé	1193	3233	8.684613E-5
			7)	_fu	1396	2316	6.221331E-5
			8)	_fl	1576	1802	4.840604E-5
		18)	_v	0	0	0.0
			1)	_vo	119	43507	0.0011687023
			2)	_vi	293	19352	5.198411E-4
			3)	_ve	539	10230	2.7480233E-4
			4)	_va	713	7326	1.9679392E-4
			5)	_vu	886	5449	1.463732E-4
			6)	_vé	1201	3171	8.518066E-5
			7)	_vr	1368	2442	6.5597975E-5
		19)	_é	0	0	0.0
			1)	_ét	226	25290	6.7935E-4
			2)	_ég	454	12417	3.335504E-4
			3)	_éc	515	10667	2.8654118E-4
			4)	_él	610	8738	2.3472363E-4
			5)	_év	653	8149	2.1890167E-4
			6)	_éq	1473	2081	5.5900648E-5
			7)	_én	1546	1912	5.13609E-5
			8)	_ém	1642	1614	4.3355907E-5
			9)	_ép	1823	1218	3.27184E-5
			10)	_éd	2241	599	1.6090577E-5
			11)	_ér	2841	203	5.4530665E-6
		20)	_o	0	0	0.0
			1)	_on	272	20961	5.630627E-4
			2)	_ou	368	15672	4.209875E-4
			3)	_ob	559	9829	2.640305E-4
			4)	_or	640	8266	2.2204457E-4
			5)	_où	995	4583	1.2311037E-4
			6)	_op	999	4542	1.22009005E-4
			7)	_oc	1251	2953	7.932466E-5
			8)	_of	1558	1866	5.0125233E-5
		21)	_g	0	0	0.0
			1)	_gr	318	17444	4.6858765E-4
			2)	_ga	900	5377	1.4443911E-4
			3)	_gé	903	5359	1.4395558E-4
			4)	_go	959	4876	1.3098105E-4
			5)	_ge	1161	3423	9.194999E-5
			6)	_gu	1629	1663	4.4672164E-5
			7)	_gl	1762	1348	3.621051E-5
		22)	_ê	0	0	0.0
			1)	_êt	393	14407	3.8700656E-4
		23)	_b	0	0	0.0
			1)	_bi	424	13246	3.558193E-4
			2)	_be	709	7391	1.9853997E-4
			3)	_ba	740	7094	1.9056184E-4
			4)	_bo	754	6893	1.851625E-4
			5)	_bu	805	6152	1.6525747E-4
			6)	_br	1155	3444	9.251409E-5
			7)	_bé	1561	1851	4.9722297E-5
			8)	_bl	1730	1404	3.7714806E-5
			9)	_b_	2236	605	1.625175E-5
			10)	_bâ	2542	338	9.07949E-6
		24)	_y	0	0	0.0
			1)	_y_	589	9040	2.4283606E-4
			2)	_ye	2118	753	2.0227384E-5
		25)	_h	0	0	0.0
			1)	_hu	1019	4350	1.1685143E-4
			2)	_ha	1061	4113	1.1048504E-4
			3)	_ho	1090	3910	1.0503197E-4
			4)	_he	1356	2491	6.691423E-5
			5)	_hi	1686	1493	4.010556E-5
			6)	_hé	2104	769	2.0657184E-5
			7)	_h_	2306	525	1.41027585E-5
			8)	_hy	2400	437	1.1738867E-5
		26)	_z	0	0	0.0
			1)	_zo	1652	1592	4.2764936E-5
		27)	_â	0	0	0.0
			1)	_âg	2252	583	1.5660777E-5
		28)	_x	0	0	0.0
			1)	_xé	2629	289	7.763233E-6
		29)	_î	0	0	0.0
			1)	_îl	2694	258	6.9304983E-6
	3)	d	0	0	0.0
		1)	de	0	0	0.0
			1)	de_	3	325925	0.008755127
			2)	des	33	119319	0.0032051944
			3)	dem	277	20443	5.4914795E-4
			4)	dev	322	17336	4.6568652E-4
			5)	den	333	16844	4.524702E-4
			6)	der	426	13206	3.547448E-4
			7)	deu	532	10386	2.7899284E-4
			8)	dep	1296	2746	7.376414E-5
			9)	dex	1457	2133	5.7297493E-5
			10)	del	2030	878	2.3585184E-5
			11)	det	2367	468	1.25716015E-5
			12)	def	2514	355	9.536151E-6
			13)	deh	2554	326	8.757142E-6
			14)	dec	2592	307	8.246756E-6
			15)	dea	2646	281	7.5483335E-6
			16)	dez	2747	239	6.4201126E-6
			17)	deg	2767	231	6.2052136E-6
		2)	da	0	0	0.0
			1)	dan	74	63518	0.0017062457
			2)	dam	620	8475	2.2765882E-4
			3)	dau	861	5633	1.5131588E-4
			4)	dat	942	5076	1.3635353E-4
			5)	dac	1018	4356	1.170126E-4
			6)	dai	1183	3280	8.810866E-5
			7)	dav	1235	3021	8.11513E-5
			8)	dap	1314	2659	7.1427115E-5
			9)	dab	1442	2165	5.815709E-5
			10)	dar	1597	1746	4.6901743E-5
			11)	das	1628	1668	4.480648E-5
			12)	dal	1789	1295	3.4786804E-5
			13)	dad	2007	920	2.4713405E-5
			14)	da_	2211	639	1.7165072E-5
			15)	dag	2288	539	1.4478832E-5
			16)	daf	2398	439	1.1792592E-5
		3)	du	0	0	0.0
			1)	du_	79	61041	0.0016397076
			2)	dun	335	16770	4.504824E-4
			3)	dui	667	7983	2.1444251E-4
			4)	dur	787	6363	1.7092543E-4
			5)	duc	896	5391	1.4481517E-4
			6)	dus	1198	3196	8.585222E-5
			7)	due	1647	1597	4.2899246E-5
			8)	dum	2467	384	1.0315161E-5
