French	3	196667698	4358
			3)	ner	358	137143	5.4409273E-4
			4)	nem	367	134350	5.330119E-4
			5)	nel	746	62736	2.4889494E-4
			6)	nen	819	55593	2.2055625E-4
			7)	neu	1670	14689	5.8276237E-5
			8)	net	1687	14184	5.627273E-5
			9)	nex	1903	10473	4.1549938E-5
			10)	nez	2440	4221	1.6746137E-5
			11)	nef	2994	1682	6.6730636E-6
			12)	nea	3461	810	3.2135442E-6
			13)	nec	3531	718	2.848549E-6
			14)	ne 	3550	692	2.7453982E-6
			15)	neg	4044	321	1.2735156E-6
			16)	nep	4235	241	9.561286E-7
		4)	nc	0	0	0.0
			1)	nce	37	559746	0.002220702
			2)	nci	385	127298	5.050343E-4
			3)	nco	498	98671	3.9146125E-4
			4)	nct	1024	40018	1.5876495E-4
			5)	ncl	1033	39694	1.5747953E-4
			6)	ncé	1274	26787	1.06273095E-4
			7)	ncu	1290	26332	1.0446796E-4
			8)	ncr	1456	20421	8.101702E-5
			9)	nch	1575	17421	6.9115005E-5
			10)	nca	1995	9036	3.5848872E-5
			11)	ncè	2497	3883	1.5405176E-5
			12)	nc_	2532	3675	1.45799695E-5
			13)	ncs	3466	801	3.1778382E-6
		5)	nn	0	0	0.0
			1)	nne	50	484249	0.0019211797
			2)	nné	486	101355	4.021096E-4
			3)	nna	699	67692	2.6855708E-4
			4)	nnu	1443	20715	8.218342E-5
			5)	nni	1513	18884	7.491922E-5
			6)	nno	1519	18775	7.448678E-5
			7)	nnê	2660	2883	1.1437837E-5
		6)	nd	0	0	0.0
			1)	nde	186	224204	8.8949315E-4
			2)	ndr	333	144603	5.7368906E-4
			3)	nda	350	139171	5.521385E-4
			4)	ndi	378	129614	5.142226E-4
			5)	ndu	619	76321	3.0279125E-4
			6)	nd_	827	54892	2.1777514E-4
			7)	nds	1029	39822	1.5798735E-4
			8)	ndé	1081	36573	1.4509747E-4
			9)	ndo	1535	18276	7.250708E-5
			10)	ndœ	3486	772	3.0627853E-6
			11)	ndc	3716	528	2.0947548E-6
			12)	nd’	3778	481	1.9082897E-6
		7)	no	0	0	0.0
			1)	nom	238	189454	7.5162813E-4
			2)	nou	413	119269	4.731805E-4
			3)	non	770	60248	2.3902422E-4
			4)	nor	893	50213	1.9921197E-4
			5)	not	1030	39788	1.5785247E-4
			6)	nol	1472	20008	7.937851E-5
			7)	nov	1665	14825	5.8815793E-5
