Spanish	3	25528195
			1)	sra	0.99206346	125
			2)	Esc	0.007936508	1
		8)	sé	0.010363589	6779
		9)	só	0.0033633127	2200
			1)	són	0.98913044	91
			2)	Esc	0.010869565	1
		10)	ss	2.7212256E-4	178
			1)	sse	0.9893617	93
			2)	Esc	0.010638298	1
		11)	sl	3.684356E-4	241
			1)	sla	0.65282315	1399
			2)	slo	0.28324777	607
			3)	sle	0.06252916	134
			4)	Esc	0.0013999067	3
		12)	sv	0.0011679868	764
		13)	sk	0.0012490121	817
			1)	sky	0.9928058	138
			2)	Esc	0.007194245	1
		14)	sh	2.27788E-4	149
		15)	s–	0.002933726	1919
		16)	s—	9.172671E-5	60
		17)	Esc	2.4460456E-5	16
	8)	a	0.16832063	4296922
		1)	ar	0.26520273	1026696
			1)	aro	0.03879085	23015
			2)	ara	0.84602654	501956
			3)	aré	0.016332103	9690
			4)	ará	0.09383628	55674
			5)	are	0.0026107768	1549
			6)	ard	2.0731152E-4	123
			7)	aró	0.0017697326	1050
			8)	ari	1.0955487E-4	65
			9)	art	9.438574E-5	56
			10)	ar–	2.0562607E-4	122
			11)	Esc	1.6854596E-5	10
		2)	ad	0.11260117	435920
			1)	ado	0.78479034	542101
			2)	ada	0.21354915	147511
			3)	ade	0.001310153	905
			4)	adá	8.3965606E-5	58
			5)	adó	9.265171E-5	64
			6)	ad–	1.6503585E-4	114
			7)	Esc	8.686097E-6	6
		3)	an	0.12645185	489541
			1)	ana	0.5446027	40684
			2)	ano	0.41412777	30937
			3)	ant	0.0011512102	86
			4)	ane	0.0026236882	196
			5)	ang	6.826944E-4	51
			6)	ans	0.001472478	110
			7)	anó	0.0023291926	174
			8)	aní	0.032193724	2405
			9)	and	6.960805E-4	52
			10)	Esc	1.2047547E-4	9
		4)	as	0.36620745	1417722
			1)	así	0.3135011	54373
			2)	aso	0.34576622	59969
			3)	ase	0.20607941	35742
			4)	asa	0.07703617	13361
			5)	asi	0.049435534	8574
			6)	asó	0.0044626896	774
			7)	asé	4.958544E-4	86
			8)	ask	4.4972842E-4	78
			9)	ast	4.7279143E-4	82
			10)	as–	0.0022428764	389
			11)	Esc	5.7657493E-5	10
		5)	at	7.723378E-5	299
			1)	ate	0.47209373	55209
			2)	ata	0.34165633	39955
			3)	ato	0.17649323	20640
			4)	ató	0.004925392	576
			5)	ats	0.0025567575	299
			6)	atu	0.0016760016	196
			7)	até	5.3871475E-4	63
			8)	Esc	5.9857197E-5	7
		6)	ac	1.85981E-5	72
			1)	ace	0.82178235	45710
			2)	aco	0.099491216	5534
			3)	aca	0.06858674	3815
			4)	acó	0.005950776	331
			5)	ací	0.0011685813	65
			6)	ack	9.528432E-4	53
			7)	ach	0.0019416428	108
			8)	Esc	1.2584722E-4	7
		7)	ag	1.4723497E-5	57
			1)	aga	0.5979945	8528
			2)	ago	0.39471287	5629
			3)	agó	0.0070822523	101
			4)	Esc	2.1036393E-4	3
		8)	al	0.12025506	465551
			1)	alo	0.10065188	2455
			2)	ale	0.12623508	3079
			3)	ala	0.69542044	16962
			4)	aló	0.025993194	634
			5)	alá	0.021360338	521
			6)	all	0.0073387725	179
			7)	alé	0.007584765	185
			8)	alí	0.0053708334	131
			9)	al–	0.0096757	236
			10)	Esc	3.6898855E-4	9
		9)	ay	7.9558544E-5	308
			1)	aya	0.8248602	28767
			2)	ayo	0.15641578	5455
			3)	ayó	0.0117275985	409
			4)	aye	0.0034121864	119
			5)	ays	0.0034408602	120
			6)	Esc	1.4336918E-4	5
		10)	am	1.2037104E-4	466
			1)	ama	0.8350756	29317
			2)	amo	0.04238471	1488
			3)	ame	0.101917	3578
			4)	amó	0.009513772	334
			5)	ami	0.010966474	385
			6)	Esc	1.4242173E-4	5
		11)	az	0.007871904	30475
			1)	azo	0.6811189	19480
			2)	aza	0.28695804	8207
			3)	azó	0.024615385	704
			4)	azi	0.007167832	205
			5)	Esc	1.3986015E-4	4
		12)	ae	4.4842088E-4	1736
			1)	aer	0.78588575	3274
			2)	aen	0.16346616	681
			3)	ael	0.049927987	208
			4)	Esc	7.201152E-4	3
		13)	aw	1.3431962E-5	52
		14)	ap	2.0922864E-5	81
			1)	apa	0.91004753	2681
			2)	ape	0.089273594	263
			3)	Esc	6.788866E-4	2
		15)	ao	2.898204E-4	1122
			1)	aos	0.9984351	638
			2)	Esc	0.0015649452	1
		16)	ax	4.4687105E-5	173
			1)	axa	0.98245615	56
			2)	Esc	0.01754386	1
		17)	aq	1.9373021E-5	75
		18)	a–	2.4410007E-4	945
		19)	a 	1.3690269E-5	53
		20)	Esc	4.907832E-6	19
	9)	r	0.10541262	2690994
		1)	ro	0.22663905	466170
			1)	ros	0.7929459	251191
			2)	ror	0.01435372	4547
			3)	ron	0.13338195	42253
			4)	rol	0.05661938	17936
			5)	roz	0.0021718405	688
			6)	roe	2.2412889E-4	71
			7)	ro–	2.809503E-4	89
			8)	Esc	2.2097214E-5	7
		2)	re	0.17477416	359490
			1)	reo	0.16253823	59948
			2)	res	0.69811887	257483
			3)	red	0.013768084	5078
			4)	rea	0.035586078	13125
			5)	ren	0.069458604	25618
			6)	ree	0.010069843	3714
			7)	rer	0.006355335	2344
			8)	rez	9.5709605E-4	353
			9)	reó	0.0022612412	834
			10)	rey	5.2599615E-4	194
			11)	reí	1.464113E-4	54
			12)	rel	1.8165846E-4	67
			13)	Esc	3.2535845E-5	12
		3)	ra	0.51802945	1065526
			1)	ran	0.19801432	83985
			2)	rar	0.28311673	120080
			3)	ras	0.35633618	151135
			4)	ral	0.16036366	68016
			5)	rae	0.0014169983	601
			6)	raz	3.1122094E-4	132
			7)	raq	1.6032593E-4	68
			8)	ra–	2.617085E-4	111
			9)	Esc	1.8861874E-5	8
		4)	rs	2.124574E-4	437
			1)	rso	0.08507098	10583
			2)	rse	0.9025337	112277
			3)	rsa	0.012371183	1539
			4)	Esc	2.4115368E-5	3
		5)	rd	2.4989268E-4	514
			1)	rdo	0.76282066	64408
			2)	rda	0.086387	7294
			3)	rde	0.13299145	11229
			4)	rdé	9.0011134E-4	76
			5)	rdó	0.016107256	1360
			6)	rds	7.224578E-4	61
			7)	Esc	7.106142E-5	6
		6)	ri	2.8198006E-4	580
			1)	ria	0.43216774	112084
			2)	rie	0.044090487	11435
			3)	rir	0.050614413	13127
			4)	rio	0.43955922	114001
			5)	ril	0.019911086	5164
			6)	rió	0.009766611	2533
			7)	riz	0.002594919	673
			8)	ris	0.0012646855	328
			9)	Esc	3.084599E-5	8
		7)	rá	0.06735094	138533
			1)	rán	0.93400943	53968
			2)	rás	0.06595594	3811
			3)	Esc	3.4613455E-5	2
		8)	rí	1.025824E-4	211
			1)	ría	0.99443287	177196
			2)	río	0.0050845174	906
			3)	rín	4.6580017E-4	83
			4)	Esc	1.6836151E-5	3
		9)	rt	9.1886606E-5	189
			1)	rta	0.13680282	23093
			2)	rte	0.6567045	110855
			3)	rtó	0.0020911703	353
			4)	rto	0.20392169	34423
			5)	rtí	4.5022363E-4	76
			6)	Esc	2.9619976E-5	5
		10)	ré	0.008336401	17147
			1)	rés	0.99993426	15211
			2)	Esc	6.573758E-5	1
		11)	rg	7.24397E-5	149
			1)	rgo	0.8630952	64235
			2)	rga	0.11834892	8808
			3)	rge	0.015129528	1126
			4)	rgó	0.003372568	251
			5)	Esc	5.3746102E-5	4
		12)	ró	0.0036142066	7434
			1)	rón	0.99841523	630
			2)	Esc	0.0015847861	1
		13)	ry	6.757798E-5	139
		14)	rk	3.0628868E-5	63
		15)	r–	1.3904534E-4	286
		16)	Esc	7.2925877E-6	15
	10)	b	1.1963242E-4	3054
		1)	ba	0.24763504	39973
			1)	bar	0.2652782	11629
			2)	ban	0.30389854	13322
			3)	bal	0.19583914	8585
			4)	bas	0.2348929	10297
			5)	Esc	9.124712E-5	4
		2)	bi	6.257008E-4	101
			1)	bio	0.6074902	23861
			2)	bia	0.07128672	2800
			3)	bil	0.032868274	1291
			4)	bir	0.21867204	8589
			5)	bió	0.043815877	1721
			6)	bie	0.013111666	515
			7)	big	0.0013493559	53
			8)	bis	0.011202199	440
			9)	Esc	2.0367636E-4	8
		3)	be	0.54385793	87789
			1)	ber	0.41674244	30701
			2)	ben	0.5672671	41790
			3)	bes	0.01594972	1175
			4)	Esc	4.072269E-5	3
		4)	bí	0.0023479268	379
			1)	bía	0.9999203	12545
			2)	Esc	7.970668E-5	1
		5)	bo	0.18116207	29243
			1)	bor	0.5467882	7678
			2)	bos	0.36091724	5068
			3)	bol	0.08339268	1171
			4)	boa	0.0037031763	52
			5)	box	0.004842615	68
			6)	Esc	3.5607463E-4	5
		6)	bó	0.01822586	2942
			1)	bón	0.9992847	1397
			2)	Esc	7.153076E-4	1
		7)	bé	8.796982E-4	142
			1)	bés	0.9943182	175
			2)	Esc	0.0056818184	1
		8)	by	0.001294767	209
		9)	bú	0.0013257423	214
			1)	bús	0.997555	408
			2)	Esc	0.002444988	1
		10)	bu	4.2745896E-4	69
			1)	bus	0.990099	100
			2)	Esc	0.00990099	1
		11)	bg	0.002149685	347
		12)	Esc	6.814564E-5	11
	11)	y	0.0037209836	94990
		1)	ya	0.63995594	125999
			1)	yan	0.40117034	12683
			2)	yar	0.53193104	16817
			3)	yas	0.06680373	2112
			4)	Esc	9.4891664E-5	3
		2)	yo	0.23330641	45935
			1)	yos	0.080870226	3286
			2)	yor	0.91908056	37345
			3)	Esc	4.9221075E-5	2
		3)	ye	0.11385719	22417
			1)	yen	0.52426773	11115
			2)	yer	0.28088298	5955
			3)	yes	0.1947078	4128
			4)	Esc	1.4150277E-4	3
		4)	yó	0.011138368	2193
		5)	ys	9.4470434E-4	186
		6)	yé	7.669374E-4	151
		7)	Esc	3.0474333E-5	6
	12)	h	3.6077756E-5	921
		1)	ha	0.25486222	47909
			1)	han	0.8279858	111663
			2)	har	0.108734176	14664
			3)	has	0.062264107	8397
			4)	hay	9.862006E-4	133
			5)	Esc	2.9660168E-5	4
		2)	ho	0.67062455	126064
			1)	hos	0.6078283	68250
			2)	hoy	0.37314868	41899
			3)	hoc	0.00470232	528
			4)	hol	0.0131718395	1479
			5)	hoa	5.5216637E-4	62
