English	3	43770781	2924
		9)	hs	0	0	0.0
			1)	hs_	1513	3302	5.2955165E-5
		10)	hn	0	0	0.0
			1)	hni	1585	2943	4.7197773E-5
			2)	hno	1659	2582	4.1408308E-5
		11)	hl	0	0	0.0
			1)	hly	1777	1995	3.1994416E-5
			2)	hli	1856	1694	2.7167187E-5
			3)	hle	2818	249	3.993288E-6
		12)	hm	0	0	0.0
			1)	hme	1956	1406	2.2548444E-5
			2)	hma	2861	230	3.688579E-6
		13)	hd	0	0	0.0
			1)	hdr	2149	972	1.5588255E-5
		14)	hb	0	0	0.0
			1)	hbo	2216	875	1.4032637E-5
		15)	hc	0	0	0.0
			1)	hco	2316	705	1.1306297E-5
		16)	hq	0	0	0.0
			1)	hqu	2693	316	5.067787E-6
	4)	o	0	0	0.0
		1)	of	0	0	0.0
			1)	of_	7	364084	0.0058389246
			2)	off	991	8458	1.3564348E-4
			3)	oft	1566	3021	4.8448685E-5
			4)	ofi	1868	1667	2.673418E-5
			5)	ofe	2020	1223	1.9613619E-5
			6)	ofo	2575	407	6.527181E-6
			7)	ofu	2752	281	4.506481E-6
		2)	on	0	0	0.0
			1)	on_	10	344126	0.005518852
			2)	ons	58	117280	0.0018808546
			3)	one	191	44823	7.1883993E-4
			4)	ont	275	33933	5.441937E-4
			5)	ona	286	32466	5.20667E-4
			6)	onc	337	28097	4.5060003E-4
			7)	ong	464	21032	3.372965E-4
			8)	ond	528	18853	3.0235123E-4
			9)	onl	602	15964	2.5601947E-4
			10)	ono	608	15883	2.5472045E-4
			11)	onf	946	9173	1.4711016E-4
			12)	oni	993	8452	1.3554726E-4
			13)	onm	999	8392	1.3458502E-4
			14)	onv	1342	4669	7.487815E-5
			15)	onn	1580	2955	4.7390222E-5
			16)	ony	2569	410	6.575293E-6
			17)	onj	2754	280	4.490444E-6
			18)	onr	2907	207	3.3197211E-6
		3)	or	0	0	0.0
			1)	or_	41	154617	0.0024796391
			2)	ort	74	97678	0.0015664914
