French	4	1859598
					5)	_daug	0.027439024	9
					6)	Esc	0.015243903	5
				7)	_dar	0.0073791957	31
					1)	_darm	0.2413793	7
					2)	_darg	0.41379312	12
					3)	_darr	0.2413793	7
					4)	Esc	0.10344828	3
				8)	_dag	0.005474887	23
					1)	_dagi	0.95454544	21
					2)	Esc	0.045454547	1
				9)	_dam	0.02475601	104
					1)	_dame	0.32038835	33
					2)	_damé	0.33009708	34
					3)	_dams	0.32038835	33
					4)	Esc	0.029126214	3
				10)	_dap	0.02308974	97
					1)	_dapp	0.85714287	84
					2)	_dapr	0.12244898	12
					3)	Esc	0.020408163	2
				11)	_dat	0.013806237	58
					1)	_date	0.45	27
					2)	_datt	0.51666665	31
					3)	Esc	0.033333335	2
				12)	_dav	0.03808617	160
					1)	_davi	0.13496932	22
					2)	_davo	0.2208589	36
					3)	_dava	0.5766871	94
					4)	_dave	0.042944785	7
					5)	Esc	0.024539877	4
				13)	_dad	0.007617234	32
					1)	_dado	0.42424244	14
					2)	_dadd	0.18181819	6
					3)	_dadh	0.18181819	6
					4)	_dadm	0.09090909	3
					5)	Esc	0.121212125	4
				14)	_das	0.017852893	75
					1)	_dass	0.525641	41
					2)	_dasi	0.3974359	31
					3)	_dasp	0.03846154	3
					4)	Esc	0.03846154	3
				15)	_daf	0.0042846943	18
					1)	_daff	0.75	15
					2)	_dafr	0.15	3
					3)	Esc	0.1	2
				16)	_daj	0.0014282314	6
					1)	_dajo	0.8333333	5
					2)	Esc	0.16666667	1
				17)	_da_	0.0019043084	8
				18)	Esc	0.0040466557	17
			5)	_di	0.06473113	2700
				1)	_dif	0.1348563	366
					1)	_diff	0.99727523	366
					2)	Esc	0.0027247956	1
				2)	_din	0.08032425	218
					1)	_dint	0.36238533	79
					2)	_dinc	0.055045873	12
					3)	_dinv	0.050458714	11
					4)	_dinf	0.19266056	42
					5)	_dins	0.16513762	36
					6)	_dind	0.04587156	10
					7)	_dini	0.09633028	21
					8)	Esc	0.03211009	7
				3)	_dis	0.27966103	759
					1)	_disp	0.43211487	331
					2)	_disc	0.34856397	267
					3)	_dist	0.06005222	46
					4)	_dis_	0.03916449	30
					5)	_dise	0.022193212	17
					6)	_diss	0.02610966	20
					7)	_diso	0.02610966	20
					8)	_disi	0.009138381	7
					9)	_disa	0.019582245	15
					10)	_disj	0.003916449	3
					11)	Esc	0.01305483	10
				4)	_dir	0.28150332	764
					1)	_dire	0.8909091	686
					2)	_dirr	0.005194805	4
					3)	_dira	0.045454547	35
					4)	_diri	0.04155844	32
					5)	_dirl	0.005194805	4
					6)	_diro	0.003896104	3
					7)	Esc	0.007792208	6
				5)	_dit	0.074060425	201
					1)	_dit_	0.8910891	180
					2)	_dite	0.0990099	20
					3)	Esc	0.00990099	2
				6)	_dil	0.005158438	14
					1)	_dile	0.21428572	3
					2)	_dili	0.35714287	5
					3)	_dilu	0.21428572	3
					4)	Esc	0.21428572	3
				7)	_div	0.032056008	87
					1)	_dive	0.7977528	71
					2)	_divi	0.17977528	16
					3)	Esc	0.02247191	2
				8)	_dix	0.006263817	17
					1)	_dix_	0.9411765	16
					2)	Esc	0.05882353	1
				9)	_dim	0.04900516	133
					1)	_dimp	0.1985294	27
					2)	_dimi	0.2720588	37
					3)	_dime	0.4117647	56
					4)	_dimm	0.0882353	12
					5)	Esc	0.029411765	4
				10)	_dip	0.0055268975	15
					1)	_dipl	0.9375	15
					2)	Esc	0.0625	1
				11)	_dia	0.016949153	46
					1)	_dial	0.9767442	42
					2)	Esc	0.023255814	1
				12)	_did	0.004421518	12
					1)	_dide	0.42857143	6
					2)	_didé	0.42857143	6
					3)	Esc	0.14285715	2
				13)	_dic	0.009948416	27
					1)	_dici	0.44827586	13
					2)	_dict	0.4827586	14
					3)	Esc	0.06896552	2
				14)	_diz	0.0029476788	8
					1)	_diza	0.8888889	8
					2)	Esc	0.11111111	1
				15)	_dig	0.008474576	23
					1)	_dign	0.7916667	19
					2)	_digu	0.125	3
					3)	Esc	0.083333336	2
				16)	_dio	0.0029476788	8
					1)	_diox	0.8888889	8
					2)	Esc	0.11111111	1
				17)	Esc	0.0058953576	16
			6)	_dê	0.001270648	53
				1)	_dêt	0.9814815	53
					1)	_dêtr	0.9814815	53
					2)	Esc	0.018518519	1
				2)	Esc	0.018518519	1
			7)	_do	0.059408788	2478
				1)	_don	0.40104374	999
					1)	_dont	0.32402793	325
					2)	_donc	0.37487537	376
					3)	_donn	0.27617148	277
					4)	_dona	0.020937188	21
					5)	Esc	0.003988036	4
				2)	_dor	0.019670814	49
					1)	_dori	0.2857143	14
					2)	_dorg	0.20408164	10
					3)	_dore	0.18367347	9
					4)	_dord	0.24489796	12
					5)	Esc	0.08163265	4
				3)	_dos	0.017663589	44
					1)	_doss	0.8604651	37
					2)	_dos_	0.093023255	4
					3)	Esc	0.046511628	2
				4)	_doi	0.28382176	707
					1)	_doit	0.61212975	434
					2)	_doiv	0.31875882	226
					3)	_dois	0.06488011	46
					4)	Esc	0.004231312	3
				5)	_dom	0.11240466	280
					1)	_doma	0.9142857	256
					2)	_domm	0.035714287	10
					3)	_domi	0.039285716	11
					4)	Esc	0.010714286	3
				6)	_dof	0.004014452	10
					1)	_doff	0.90909094	10
					2)	Esc	0.09090909	1
				7)	_dou	0.05941389	148
					1)	_dout	0.60264903	91
					2)	_doub	0.23178808	35
					3)	_douv	0.08609272	13
					4)	_doua	0.01986755	3
					5)	_douz	0.026490066	4
					6)	Esc	0.03311258	5
				8)	_doc	0.054596547	136
					1)	_doct	0.14814815	20
					2)	_docu	0.837037	113
					3)	Esc	0.014814815	2
				9)	_dot	0.013649137	34
					1)	_dote	0.5	18
